Condition	Frequency	Block	Timing File	TaskObject#1	TaskObject#2	TaskObject#3	TaskObject#4
36	2	2 3 4 5 6 7	dms	fix(0.00,0.00)	pic(rad6.png,-5.50,-3.00,216.23,216.23)	pic(rad0.png,10.00,0.00,216.23,216.23)	pic(cir0.png,-10.00,0.00,216.23,216.23)
37	2	3 4 5 6 7	dms	fix(0.00,0.00)	pic(cir17.png,-5.50,-3.00,216.23,216.23)	pic(cir0.png,-10.00,0.00,216.23,216.23)	pic(rad0.png,10.00,0.00,216.23,216.23)
38	2	3 4 5 6 7	dms	fix(0.00,0.00)	pic(cir17.png,-5.50,-3.00,216.23,216.23)	pic(cir0.png,10.00,0.00,216.23,216.23)	pic(rad0.png,-10.00,0.00,216.23,216.23)
39	2	3 4 5 6 7	dms	fix(0.00,0.00)	pic(rad17.png,-5.50,-3.00,216.23,216.23)	pic(rad0.png,-10.00,0.00,216.23,216.23)	pic(cir0.png,10.00,0.00,216.23,216.23)
40	2	3 4 5 6 7	dms	fix(0.00,0.00)	pic(rad17.png,-5.50,-3.00,216.23,216.23)	pic(rad0.png,10.00,0.00,216.23,216.23)	pic(cir0.png,-10.00,0.00,216.23,216.23)
41	2	4 5 6 7	dms	fix(0.00,0.00)	pic(cir31.png,-5.50,-3.00,216.23,216.23)	pic(cir0.png,-10.00,0.00,216.23,216.23)	pic(rad0.png,10.00,0.00,216.23,216.23)
42	2	4 5 6 7	dms	fix(0.00,0.00)	pic(cir31.png,-5.50,-3.00,216.23,216.23)	pic(cir0.png,10.00,0.00,216.23,216.23)	pic(rad0.png,-10.00,0.00,216.23,216.23)
43	2	4 5 6 7	dms	fix(0.00,0.00)	pic(rad31.png,-5.50,-3.00,216.23,216.23)	pic(rad0.png,-10.00,0.00,216.23,216.23)	pic(cir0.png,10.00,0.00,216.23,216.23)
44	2	4 5 6 7	dms	fix(0.00,0.00)	pic(rad31.png,-5.50,-3.00,216.23,216.23)	pic(rad0.png,10.00,0.00,216.23,216.23)	pic(cir0.png,-10.00,0.00,216.23,216.23)
45	2	5 6 7	dms	fix(0.00,0.00)	pic(cir47.png,-5.50,-3.00,216.23,216.23)	pic(cir0.png,-10.00,0.00,216.23,216.23)	pic(rad0.png,10.00,0.00,216.23,216.23)
46	2	5 6 7	dms	fix(0.00,0.00)	pic(cir47.png,-5.50,-3.00,216.23,216.23)	pic(cir0.png,10.00,0.00,216.23,216.23)	pic(rad0.png,-10.00,0.00,216.23,216.23)
47	2	5 6 7	dms	fix(0.00,0.00)	pic(rad47.png,-5.50,-3.00,216.23,216.23)	pic(rad0.png,-10.00,0.00,216.23,216.23)	pic(cir0.png,10.00,0.00,216.23,216.23)
