Condition	Frequency	Block	Timing File	TaskObject#1	TaskObject#2	TaskObject#3	TaskObject#4	TaskObject#5	TaskObject#6	TaskObject#7	TaskObject#8	TaskObject#9	TaskObject#10	TaskObject#11
34	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim331.png,0.00,0.00,288.31,288.31)	pic(stim332.png,0.00,0.00,288.31,288.31)	pic(stim333.png,0.00,0.00,288.31,288.31)	pic(stim334.png,0.00,0.00,288.31,288.31)	pic(stim335.png,0.00,0.00,288.31,288.31)	pic(stim336.png,0.00,0.00,288.31,288.31)	pic(stim337.png,0.00,0.00,288.31,288.31)	pic(stim338.png,0.00,0.00,288.31,288.31)	pic(stim339.png,0.00,0.00,288.31,288.31)	pic(stim340.png,0.00,0.00,288.31,288.31)
35	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim341.png,0.00,0.00,288.31,288.31)	pic(stim342.png,0.00,0.00,288.31,288.31)	pic(stim343.png,0.00,0.00,288.31,288.31)	pic(stim344.png,0.00,0.00,288.31,288.31)	pic(stim345.png,0.00,0.00,288.31,288.31)	pic(stim346.png,0.00,0.00,288.31,288.31)	pic(stim347.png,0.00,0.00,288.31,288.31)	pic(stim348.png,0.00,0.00,288.31,288.31)	pic(stim349.png,0.00,0.00,288.31,288.31)	pic(stim350.png,0.00,0.00,288.31,288.31)
36	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim351.png,0.00,0.00,288.31,288.31)	pic(stim352.png,0.00,0.00,288.31,288.31)	pic(stim353.png,0.00,0.00,288.31,288.31)	pic(stim354.png,0.00,0.00,288.31,288.31)	pic(stim355.png,0.00,0.00,288.31,288.31)	pic(stim356.png,0.00,0.00,288.31,288.31)	pic(stim357.png,0.00,0.00,288.31,288.31)	pic(stim358.png,0.00,0.00,288.31,288.31)	pic(stim359.png,0.00,0.00,288.31,288.31)	pic(stim360.png,0.00,0.00,288.31,288.31)
37	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim361.png,0.00,0.00,288.31,288.31)	pic(stim362.png,0.00,0.00,288.31,288.31)	pic(stim363.png,0.00,0.00,288.31,288.31)	pic(stim364.png,0.00,0.00,288.31,288.31)	pic(stim365.png,0.00,0.00,288.31,288.31)	pic(stim366.png,0.00,0.00,288.31,288.31)	pic(stim367.png,0.00,0.00,288.31,288.31)	pic(stim368.png,0.00,0.00,288.31,288.31)	pic(stim369.png,0.00,0.00,288.31,288.31)	pic(stim370.png,0.00,0.00,288.31,288.31)
38	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim371.png,0.00,0.00,288.31,288.31)	pic(stim372.png,0.00,0.00,288.31,288.31)	pic(stim373.png,0.00,0.00,288.31,288.31)	pic(stim374.png,0.00,0.00,288.31,288.31)	pic(stim375.png,0.00,0.00,288.31,288.31)	pic(stim376.png,0.00,0.00,288.31,288.31)	pic(stim377.png,0.00,0.00,288.31,288.31)	pic(stim378.png,0.00,0.00,288.31,288.31)	pic(stim379.png,0.00,0.00,288.31,288.31)	pic(stim380.png,0.00,0.00,288.31,288.31)
39	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim381.png,0.00,0.00,288.31,288.31)	pic(stim382.png,0.00,0.00,288.31,288.31)	pic(stim383.png,0.00,0.00,288.31,288.31)	pic(stim384.png,0.00,0.00,288.31,288.31)	pic(stim385.png,0.00,0.00,288.31,288.31)	pic(stim386.png,0.00,0.00,288.31,288.31)	pic(stim387.png,0.00,0.00,288.31,288.31)	pic(stim388.png,0.00,0.00,288.31,288.31)	pic(stim389.png,0.00,0.00,288.31,288.31)	pic(stim390.png,0.00,0.00,288.31,288.31)
40	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim391.png,0.00,0.00,288.31,288.31)	pic(stim392.png,0.00,0.00,288.31,288.31)	pic(stim393.png,0.00,0.00,288.31,288.31)	pic(stim394.png,0.00,0.00,288.31,288.31)	pic(stim395.png,0.00,0.00,288.31,288.31)	pic(stim396.png,0.00,0.00,288.31,288.31)	pic(stim397.png,0.00,0.00,288.31,288.31)	pic(stim398.png,0.00,0.00,288.31,288.31)	pic(stim399.png,0.00,0.00,288.31,288.31)	pic(stim400.png,0.00,0.00,288.31,288.31)
41	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim401.png,0.00,0.00,288.31,288.31)	pic(stim402.png,0.00,0.00,288.31,288.31)	pic(stim403.png,0.00,0.00,288.31,288.31)	pic(stim404.png,0.00,0.00,288.31,288.31)	pic(stim405.png,0.00,0.00,288.31,288.31)	pic(stim406.png,0.00,0.00,288.31,288.31)	pic(stim407.png,0.00,0.00,288.31,288.31)	pic(stim408.png,0.00,0.00,288.31,288.31)	pic(stim409.png,0.00,0.00,288.31,288.31)	pic(stim410.png,0.00,0.00,288.31,288.31)
42	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim411.png,0.00,0.00,288.31,288.31)	pic(stim412.png,0.00,0.00,288.31,288.31)	pic(stim413.png,0.00,0.00,288.31,288.31)	pic(stim414.png,0.00,0.00,288.31,288.31)	pic(stim415.png,0.00,0.00,288.31,288.31)	pic(stim416.png,0.00,0.00,288.31,288.31)	pic(stim417.png,0.00,0.00,288.31,288.31)	pic(stim418.png,0.00,0.00,288.31,288.31)	pic(stim419.png,0.00,0.00,288.31,288.31)	pic(stim420.png,0.00,0.00,288.31,288.31)
43	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim421.png,0.00,0.00,288.31,288.31)	pic(stim422.png,0.00,0.00,288.31,288.31)	pic(stim423.png,0.00,0.00,288.31,288.31)	pic(stim424.png,0.00,0.00,288.31,288.31)	pic(stim425.png,0.00,0.00,288.31,288.31)	pic(stim426.png,0.00,0.00,288.31,288.31)	pic(stim427.png,0.00,0.00,288.31,288.31)	pic(stim428.png,0.00,0.00,288.31,288.31)	pic(stim429.png,0.00,0.00,288.31,288.31)	pic(stim430.png,0.00,0.00,288.31,288.31)
