Condition	Frequency	Block	Timing File	TaskObject#1	TaskObject#2
205	1	14	stimulus_show1img	fix(0.00,0.00)	pic(stim205.png,-2.00,-2.00,576.62,576.62)
206	1	15	stimulus_show1img	fix(0.00,0.00)	pic(stim206.png,-2.00,-2.00,576.62,576.62)
207	1	16	stimulus_show1img	fix(0.00,0.00)	pic(stim207.png,-2.00,-2.00,576.62,576.62)
208	1	17	stimulus_show1img	fix(0.00,0.00)	pic(stim208.png,-2.00,-2.00,576.62,576.62)
209	1	18	stimulus_show1img	fix(0.00,0.00)	pic(stim209.png,-2.00,-2.00,576.62,576.62)
210	1	19	stimulus_show1img	fix(0.00,0.00)	pic(stim210.png,-2.00,-2.00,576.62,576.62)
211	1	20	stimulus_show1img	fix(0.00,0.00)	pic(stim211.png,-2.00,-2.00,576.62,576.62)
212	1	21	stimulus_show1img	fix(0.00,0.00)	pic(stim212.png,-2.00,-2.00,576.62,576.62)
213	1	22	stimulus_show1img	fix(0.00,0.00)	pic(stim213.png,-2.00,-2.00,576.62,576.62)
214	1	23	stimulus_show1img	fix(0.00,0.00)	pic(stim214.png,-2.00,-2.00,576.62,576.62)
215	1	24	stimulus_show1img	fix(0.00,0.00)	pic(stim215.png,-2.00,-2.00,576.62,576.62)
216	1	25	stimulus_show1img	fix(0.00,0.00)	pic(stim216.png,-2.00,-2.00,576.62,576.62)
217	1	26	stimulus_show1img	fix(0.00,0.00)	pic(stim217.png,-2.00,-2.00,576.62,576.62)
218	1	27	stimulus_show1img	fix(0.00,0.00)	pic(stim218.png,-2.00,-2.00,576.62,576.62)
219	1	28	stimulus_show1img	fix(0.00,0.00)	pic(stim219.png,-2.00,-2.00,576.62,576.62)
220	1	29	stimulus_show1img	fix(0.00,0.00)	pic(stim220.png,-2.00,-2.00,576.62,576.62)
221	1	30	stimulus_show1img	fix(0.00,0.00)	pic(stim221.png,-2.00,-2.00,576.62,576.62)
222	1	31	stimulus_show1img	fix(0.00,0.00)	pic(stim222.png,-2.00,-2.00,576.62,576.62)
223	1	32	stimulus_show1img	fix(0.00,0.00)	pic(stim223.png,-2.00,-2.00,576.62,576.62)
224	1	33	stimulus_show1img	fix(0.00,0.00)	pic(stim224.png,-2.00,-2.00,576.62,576.62)
225	1	34	stimulus_show1img	fix(0.00,0.00)	pic(stim225.png,-2.00,-2.00,576.62,576.62)
226	1	35	stimulus_show1img	fix(0.00,0.00)	pic(stim226.png,-2.00,-2.00,576.62,576.62)
227	1	36	stimulus_show1img	fix(0.00,0.00)	pic(stim227.png,-2.00,-2.00,576.62,576.62)
228	1	37	stimulus_show1img	fix(0.00,0.00)	pic(stim228.png,-2.00,-2.00,576.62,576.62)
229	1	38	stimulus_show1img	fix(0.00,0.00)	pic(stim229.png,-2.00,-2.00,576.62,576.62)
230	1	39	stimulus_show1img	fix(0.00,0.00)	pic(stim230.png,-2.00,-2.00,576.62,576.62)
231	1	40	stimulus_show1img	fix(0.00,0.00)	pic(stim231.png,-2.00,-2.00,576.62,576.62)
232	1	41	stimulus_show1img	fix(0.00,0.00)	pic(stim232.png,-2.00,-2.00,576.62,576.62)
233	1	42	stimulus_show1img	fix(0.00,0.00)	pic(stim233.png,-2.00,-2.00,576.62,576.62)
234	1	43	stimulus_show1img	fix(0.00,0.00)	pic(stim234.png,-2.00,-2.00,576.62,576.62)
235	1	44	stimulus_show1img	fix(0.00,0.00)	pic(stim235.png,-2.00,-2.00,576.62,576.62)
236	1	45	stimulus_show1img	fix(0.00,0.00)	pic(stim236.png,-2.00,-2.00,576.62,576.62)
237	1	46	stimulus_show1img	fix(0.00,0.00)	pic(stim237.png,-2.00,-2.00,576.62,576.62)
238	1	47	stimulus_show1img	fix(0.00,0.00)	pic(stim238.png,-2.00,-2.00,576.62,576.62)
239	1	48	stimulus_show1img	fix(0.00,0.00)	pic(stim239.png,-2.00,-2.00,576.62,576.62)
240	1	49	stimulus_show1img	fix(0.00,0.00)	pic(stim240.png,-2.00,-2.00,576.62,576.62)
241	1	50	stimulus_show1img	fix(0.00,0.00)	pic(stim241.png,-2.00,-2.00,576.62,576.62)
242	1	51	stimulus_show1img	fix(0.00,0.00)	pic(stim242.png,-2.00,-2.00,576.62,576.62)
243	1	52	stimulus_show1img	fix(0.00,0.00)	pic(stim243.png,-2.00,-2.00,576.62,576.62)
244	1	53	stimulus_show1img	fix(0.00,0.00)	pic(stim244.png,-2.00,-2.00,576.62,576.62)
245	1	54	stimulus_show1img	fix(0.00,0.00)	pic(stim245.png,-2.00,-2.00,576.62,576.62)
246	1	55	stimulus_show1img	fix(0.00,0.00)	pic(stim246.png,-2.00,-2.00,576.62,576.62)
247	1	56	stimulus_show1img	fix(0.00,0.00)	pic(stim247.png,-2.00,-2.00,576.62,576.62)
248	1	57	stimulus_show1img	fix(0.00,0.00)	pic(stim248.png,-2.00,-2.00,576.62,576.62)
249	1	58	stimulus_show1img	fix(0.00,0.00)	pic(stim249.png,-2.00,-2.00,576.62,576.62)
250	1	59	stimulus_show1img	fix(0.00,0.00)	pic(stim250.png,-2.00,-2.00,576.62,576.62)
251	1	60	stimulus_show1img	fix(0.00,0.00)	pic(stim251.png,-2.00,-2.00,576.62,576.62)
252	1	61	stimulus_show1img	fix(0.00,0.00)	pic(stim252.png,-2.00,-2.00,576.62,576.62)
